date,title,sessions,pageViews, totalRevenue ,totalSales , totalCost , totalProfit , customerSatisfaction ,employeeSatisfaction,customerRetentionRate,stockTotal
2/17/18,"Sports Water Bottle 3-Pack Multi-Pack, 3 Colors - Eastman Tritan, BPA-Free, Leak-Proof - Secured & Locking Lid, Break-Resistant - 30oz (900mL) - by Unity ... (Gray/Turquoise/Blue)",35737,47907,140162.36,6529,60850.28,79312.08,100,99,2,645
3/28/18," Elite Steam Iron 1500W, Anti-Drip & Self-Cleaning, Anti-Calcium, Vertical Steam - Stainless Steel Soleplate - XL 300ML Tank - Steam, Spray, Dry Functions - ETL Listed, by Unity",8626,11382,78425.5,2915,29878.75,48546.75,94,92,3,610
3/2/18,"Sports Water Bottle 3-Pack Multi-Pack, 3 Colors - Eastman Tritan, BPA-Free, Leak-Proof - Secured & Locking Lid, Break-Resistant - 30oz (900mL) - by Unity (Purple/Turquoise/Pink)",13922,18293,60230.52,2807,22343.72,37886.8,95,100,3,643
1/25/18," Value Terry Cloth 24-Pack - 12"" x 12"" - Cotton/Poly Blend for Maximum Performance - Fun Colors - Multi-Purpose, by Unity",8660,11330,50976.24,2736,22489.92,28486.32,90,97,2,652
3/11/18,"Sports Water Bottle 2-Pack Multi-Pack, 2 Colors, Eastman Tritan, BPA-Free, Leak-Proof, Easy Locking & Push Button Flip Top, 20oz (600mL), by Unity",9044,11216,35797.2,2283,22282.08,13515.12,91,98,3,74
3/1/18," Food & Freezer Storage Container Set, 26pc, Snap Tight Lid & Vent Cap, BPA-Free, Freezer-Safe, Microwave-Safe, by Unity",6809,8312,27567.68,1802,18001.98,9565.7,91,93,2,86
3/10/18, Soft Potty Training Potty Seat with Handles & Splash Guard - FREE HOOK INCLUDED - by Unity (Rubber Ducky),6321,8677,20188.63,1724,10102.64,10085.99,96,100,3,489
2/5/18," Outdoor Extension Cord - 15FT - Heavy Duty & Durable, 14 Gauge, Safety Yellow Cord, Premium Lighted Plug, UL Listed, by Unity",4540,5942,33946.9,1714,14569,19377.9,93,99,2,406
2/26/18," Premium+ Steam Iron 1400W, Anti-Drip & Self-Cleaning, Anti-Calcium, Vertical Steam, NonStick Soleplate, XL 250ML Tank - Steam, Spray, & Dry Functions - ETL Listed, by Unity",7040,9137,28453.84,1400,10416,18037.84,97,91,2,301
1/10/18," Outdoor Extension Cord UL listed - 50FT - Heavy Duty & Durable, 14 Gauge, Safety Yellow Cord, Premium Lighted Plug, by Unity",3231,4183,39298.88,1231,16655.43,22643.45,99,91,3,416
3/15/18," Outdoor Extension Cord UL listed - 25FT - Heavy Duty & Durable, 14 Gauge, Safety Yellow Cord, Premium Lighted Plug, by Unity",2523,3357,29423.94,1157,12090.65,17333.29,94,96,3,670
3/12/18, Soft Potty Training Potty Seat with Handles & Splash Guard - FREE HOOK INCLUDED - by Unity (Day At The Beach),3891,5089,12462.66,1070,6066.9,6395.76,97,92,2,202
3/20/18," Outdoor Extension Cord UL Listed - 100FT - Heavy Duty & Durable, 14 Gauge, Safety Yellow Cord, Premium Lighted Plug, by Unity",3472,4560,48011.04,987,15130.71,32880.33,91,91,3,612
2/18/18,"Sports Water Bottle 2-Pack Multi-Pack - Easy Flip Straw & Ice Cooler - 2 Colors, Eastman Tritan, BPA-Free, Ergonomic Shape, 27oz (800mL), by Unity",4474,5861,10488.44,919,6221.63,4266.81,93,90,3,295
1/21/18," 6-Pack Melamine 6"" Round Bowls, Break & Chip Resistant, Indoor/Outdoor, Wave Rim Design, by Unity (Turquoise)",3434,4407,11683.05,879,3023.76,8659.29,95,90,3,686
1/2/18," Executive Steam Iron 1600W, Auto-Off - Anti-Drip & Self-Cleaning, Anti-Calcium, Vertical Steam, Stainless Steel Soleplate, XL 350ML Tank - Steam, Spray, & Dry Functions - ETL Listed, by Unity",5954,7824,25714.26,832,11273.6,14440.66,92,91,2,195
2/25/18,"Unity 9"" Non-Slip Foldable Step Stool with Carrying Handle - Supports Up To 300LBS - Easy Open - Perfect for Kitchen, Bathroom, Bedroom & More - by Unity (White/Gray Pads)",1420,1883,7916.92,744,4129.2,3787.72,100,93,2,685
2/28/18, Clean Between Flossers Dental Floss Picks - 4 Pack - 4 x 100 Count - Included Holder - Pharmacy Quality - By Unity (Mint),1734,2244,10149.66,658,6744.5,3405.16,95,95,2,728
3/7/18," 6-Pack Melamine 6"" Round Bowls, Break & Chip Resistant, Indoor/Outdoor, Wave Rim Design, by Unity (White)",2083,2545,9401.29,626,5834.32,3566.97,99,95,3,750
2/24/18," Outdoor Extension Cord - 20FT - Heavy Duty & Durable, General Purpose, 16 Gauge, Orange Cord, UL Listed, by Unity",933,1173,11290.08,619,3361.17,7928.91,95,99,2,386
2/1/18," 6-Pack Melamine 10.3"" Dinner Plate, Break & Chip Resistant, Indoor/Outdoor, Wave Rim Design, by Unity (Turquoise)",3797,5155,10951.99,608,4322.88,6629.11,94,96,2,345
2/8/18," 16-Piece Melamine Dinnerware Set, Service for 4, Break & Chip Resistant, Indoor/Outdoor, Wave Rim Design, by Unity (Turquoise)",8953,11496,19776.24,605,4815.8,14960.44,96,98,2,757
3/8/18," 2-Slice Toaster, 7 Temperature Levels, Sleek Unibody Frame - Quick Bagel Button - Multiple Colors Available - Classic Performance And Power - 750W ETL-Listed, By Unity (Red)",3638,4512,12049.82,595,3486.7,8563.12,92,93,2,732
2/12/18,"Unity 13"" Non-Slip Foldable Step Stool Carrying Handle - Supports Up To 300LBS - Easy Open - Perfect Kitchen, Bathroom, Bedroom & More (Turquoise/White Dots)",2987,4156,8577.81,556,2168.4,6409.41,100,91,2,709
2/8/18,Unity 5-Piece Premium Medium Duty Garden Tool Set - Ergonomic Wooden Handles - Anti-Rust - Strong And Durable - Garden Tested,2629,3238,10307.46,546,4062.24,6245.22,90,91,2,757
1/13/18, 12-Piece MultiColor Classic Wide Rim Melamine Set - Indoor/Outdoor Dinnerware Set - Service For 4 - by Unity (Assorted w/Tumblers),5308,7069,15052.35,543,4463.46,10588.89,97,94,2,547
3/16/18,"Unity 9"" Non-Slip Foldable Step Stool with Carrying Handle - Supports Up To 300LBS - Easy Open - Perfect for Kitchen, Bathroom, Bedroom & More - by Unity (Gray/White Pads)",1243,1687,5539.95,530,2289.6,3250.35,91,91,2,459
3/1/18," Classic Stainless Steel 4-Slice Toaster - 7 Temperature Level - Extra Wide Slots - Digital Control Buttons, by Unity ...",2014,2749,18668.43,511,3459.47,15208.96,92,97,3,509
1/17/18,"Unity 9"" Non-Slip Foldable Step Stool Carrying Handle & Back Support - Supports up to 300LBS - Easy Open - Sit Stand Unity (White/Gray Dots)",3097,4022,8517.93,508,3662.68,4855.25,95,93,2,402
3/11/18, 12-Piece Classic Wide Rim Signature Melamine Blend Indoor/Outdoor Dinnerware Set - Canal Blue Wide Band Pattern - By Unity (Canal Blue),7960,10438,12207.64,497,4965.03,7242.61,97,97,3,97
2/16/18," Premium Outdoor Extension Cord UL listed - Super Heavy Duty & Durable - 12 Gauge - .15AMP-125V-1875W - Industrial Blue Cord, Premium Lighted Plug, by Unity (50 Ft)",2416,3018,21527.88,463,9260,12267.88,90,91,2,185
2/25/18, Basic+ Standard Ironing Board - Large Surface - Sturdy Legs - Iron Rest - Cotton Poly Cover & Mesh Surface Board by Unity,1613,2261,17323.44,452,4212.64,13110.8,94,93,3,222
3/17/18," 10-Piece Mixing Bowl Set - Leak Resistant - Snap Lids - BPA Free - Freezer Safe - Dishwasher Safe - Microwave Safe - Durable And Easy To Clean, by Unity",2353,2972,8289.47,445,1530.8,6758.67,92,99,2,285
3/4/18,"Heavy Duty Electric Skillet, 1200W, Non-Stick Premium Die-Cast Aluminum with Vented Glass Lid - Great for Cooking Anything from Pancakes to Steaks - By Unity",6745,8914,13383.81,442,7315.1,6068.71,91,92,3,75
3/19/18,"Sports Water Bottle Single Pack Blue - Bonus Insulating Sleeve - Eastman Tritan, BPA-Free, Leak-Proof - Secured & Locking Lid, Break-Resistant - 30oz (900mL) - by Unity",4825,6046,5024.26,418,2319.9,2704.36,92,90,3,651
2/18/18,"Premium Heavy Duty Velvet Hangers - 50 Pack Bulk - Pink - Non-Slip, Ultra Thin, 10lbs Capacity - Great for Suits, Pants, & Dresses - by Unity",1730,2329,13134.22,401,2177.43,10956.79,93,92,3,207
1/21/18,"Sports Water Bottle Single Pack Turquoise - Bonus Insulating Sleeve - Eastman Tritan, BPA-Free, Leak-Proof - Secured & Locking Lid, Break-Resistant - 30oz (900mL) - by Unity",2546,3206,4398.94,392,3825.92,573.02,90,98,3,264
2/18/18," 6-Pack Melamine 10.3"" Dinner Plate, Break & Chip Resistant, Indoor/Outdoor, Wave Rim Design, by Unity (White)",1476,1907,8566.75,388,3786.88,4779.87,95,96,2,575
1/1/18," Indoor/Outdoor Extension Cord - 20FT - Heavy Duty, Durable & Flexible, General Purpose, 16 Gauge, 2-Prong, UL-Listed - by Unity (Hunter Green)",1007,1293,5072.62,386,1713.84,3358.78,94,95,2,164
3/21/18, 12 Piece Melamine Break-Resistant Indoor Outdoor Dinnerware Set Service For 4 Square Pattern By Unity (Mardi Gras - Assorted 4 colors),3029,3749,11083.35,382,5092.06,5991.29,92,97,2,710
2/17/18," Premium+ Ironing Board - Premium Felt Underlay - Cotton Poly Blend Cover - Easy Fold Lever - Sturdy And Dependable - 48"" x 15"" - Everyday Use by Unity",985,1228,18558.48,378,8316,10242.48,92,94,3,575
1/1/18," 12-Piece Melamine Dinnerware Set, Service for 4, Break & Chip Resistant, Indoor/Outdoor, Square Design, by Unity (Meadow Green)",5583,7083,9106.32,361,2873.56,6232.76,97,98,3,507
1/7/18," 12-Piece Melamine Dinnerware Set, Service for 4, Break & Chip Resistant, Indoor/Outdoor, Square Design, by Unity (Ocean Blue)",3162,3970,9246.11,352,2893.44,6352.67,90,90,2,484
2/12/18,"Sports Water Bottle Single Pack Gray - Bonus Insulating Sleeve - Eastman Tritan, BPA-Free, Leak-Proof - Secured & Locking Lid, Break-Resistant - 30oz (900mL) - by Unity",2952,3600,4333.15,346,2941,1392.15,92,91,2,527
1/28/18,"Unity 9"" Non-Slip Foldable Step Stool with Carrying Handle - Supports Up To 300LBS - Easy Open - Perfect for Kitchen, Bathroom, Bedroom & More - by Unity (Turquoise/White Dots)",945,1258,3333.44,343,2551.92,781.52,93,98,3,154
1/31/18," 4-Slice Toaster, Dual 7 Temperature Levels, Sleek Unibody Frame - Quick Bagel Button - 1500W ETL-Listed, By Unity",1611,2058,8626.62,332,5089.56,3537.06,100,92,2,341
